Observable variable/alias used,Times Used,Line start,Line end,Filename
Observable,1,6,6,/Users/stefanosathanasoulias/thesis-projects-container/projects/marble-master/packages/core/src/+internal/files/fileReader.helper.ts
Observable,1,6,6,/Users/stefanosathanasoulias/thesis-projects-container/projects/marble-master/packages/core/src/+internal/files/fileReader.helper.ts
Observable,1,6,6,/Users/stefanosathanasoulias/thesis-projects-container/projects/marble-master/packages/core/src/+internal/observable/fromReadableStream.ts
Observable,1,6,6,/Users/stefanosathanasoulias/thesis-projects-container/projects/marble-master/packages/core/src/+internal/observable/fromReadableStream.ts
Subject,1,9,9,/Users/stefanosathanasoulias/thesis-projects-container/projects/marble-master/packages/core/src/http/server/http.server.event.subscriber.ts
NamedError,1,88,88,/Users/stefanosathanasoulias/thesis-projects-container/projects/marble-master/packages/core/src/operators/act/act.operator.spec.ts
Error,1,112,112,/Users/stefanosathanasoulias/thesis-projects-container/projects/marble-master/packages/core/src/operators/act/act.operator.spec.ts
Error,1,141,141,/Users/stefanosathanasoulias/thesis-projects-container/projects/marble-master/packages/core/src/operators/act/act.operator.spec.ts
Error,1,170,170,/Users/stefanosathanasoulias/thesis-projects-container/projects/marble-master/packages/core/src/operators/act/act.operator.spec.ts
EventError,1,54,54,/Users/stefanosathanasoulias/thesis-projects-container/projects/marble-master/packages/messaging/src/client/messaging.client.ts
NamedError,1,58,58,/Users/stefanosathanasoulias/thesis-projects-container/projects/marble-master/packages/messaging/src/client/messaging.client.ts
Error,1,70,70,/Users/stefanosathanasoulias/thesis-projects-container/projects/marble-master/packages/messaging/src/client/messaging.client.ts
Subject,1,77,77,/Users/stefanosathanasoulias/thesis-projects-container/projects/marble-master/packages/messaging/src/server/messaging.server.listener.ts
Subject,1,78,78,/Users/stefanosathanasoulias/thesis-projects-container/projects/marble-master/packages/messaging/src/server/messaging.server.listener.ts
EventError,1,16,16,/Users/stefanosathanasoulias/thesis-projects-container/projects/marble-master/packages/middleware-io/src/io.event.middleware.ts
IOError,1,19,19,/Users/stefanosathanasoulias/thesis-projects-container/projects/marble-master/packages/middleware-io/src/io.middleware.ts
HttpError,1,71,71,/Users/stefanosathanasoulias/thesis-projects-container/projects/marble-master/packages/middleware-io/src/io.request.middleware.ts
HttpError,1,18,18,/Users/stefanosathanasoulias/thesis-projects-container/projects/marble-master/packages/middleware-joi/src/validator.middleware.ts
Map,1,40,40,/Users/stefanosathanasoulias/thesis-projects-container/projects/marble-master/packages/middleware-joi/src/validator.middleware.ts
Observable,1,22,22,/Users/stefanosathanasoulias/thesis-projects-container/projects/marble-master/packages/middleware-jwt/src/jwt.factory.ts
Observable,1,22,22,/Users/stefanosathanasoulias/thesis-projects-container/projects/marble-master/packages/middleware-jwt/src/jwt.factory.ts
HttpError,1,23,23,/Users/stefanosathanasoulias/thesis-projects-container/projects/marble-master/packages/middleware-jwt/src/jwt.middleware.ts
HttpError,1,14,14,/Users/stefanosathanasoulias/thesis-projects-container/projects/marble-master/packages/middleware-multipart/src/multipart.middleware.ts
HttpError,1,16,16,/Users/stefanosathanasoulias/thesis-projects-container/projects/marble-master/packages/middleware-multipart/src/multipart.parser.file.ts
HttpError,1,27,27,/Users/stefanosathanasoulias/thesis-projects-container/projects/marble-master/packages/middleware-multipart/src/multipart.parser.file.ts
Busboy,1,10,10,/Users/stefanosathanasoulias/thesis-projects-container/projects/marble-master/packages/middleware-multipart/src/multipart.parser.ts
HttpError,1,37,37,/Users/stefanosathanasoulias/thesis-projects-container/projects/marble-master/packages/middleware-multipart/src/multipart.parser.ts
HttpError,1,45,45,/Users/stefanosathanasoulias/thesis-projects-container/projects/marble-master/packages/middleware-multipart/src/multipart.parser.ts
HttpError,1,61,61,/Users/stefanosathanasoulias/thesis-projects-container/projects/marble-master/packages/middleware-multipart/src/multipart.parser.ts
Subject,1,11,11,/Users/stefanosathanasoulias/thesis-projects-container/projects/marble-master/packages/websockets/src/server/websocket.server.event.subscriber.ts
Subject,1,52,52,/Users/stefanosathanasoulias/thesis-projects-container/projects/marble-master/packages/websockets/src/server/websocket.server.listener.ts
Subject,1,53,53,/Users/stefanosathanasoulias/thesis-projects-container/projects/marble-master/packages/websockets/src/server/websocket.server.listener.ts
Promise,1,76,76,/Users/stefanosathanasoulias/thesis-projects-container/projects/marble-master/packages/websockets/src/server/websocket.server.ts
