Observable variable/alias used,Times Used,Line start,Line end,Filename
Subject,1,95,95,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxdb-master/src/data-migrator.ts
Promise,1,126,126,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxdb-master/src/data-migrator.ts
Promise,1,163,163,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxdb-master/src/data-migrator.ts
DataMigrator,1,258,258,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxdb-master/src/data-migrator.ts
Subject,1,404,404,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxdb-master/src/data-migrator.ts
WeakMap,1,57,57,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxdb-master/src/plugins/in-memory.ts
WeakMap,1,58,58,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxdb-master/src/plugins/in-memory.ts
PouchDB,1,103,103,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxdb-master/src/plugins/in-memory.ts
Subject,1,86,86,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxdb-master/src/plugins/replication-graphql/index.ts
Subject,1,87,87,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxdb-master/src/plugins/replication-graphql/index.ts
Subject,1,88,88,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxdb-master/src/plugins/replication-graphql/index.ts
BehaviorSubject,1,89,89,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxdb-master/src/plugins/replication-graphql/index.ts
BehaviorSubject,1,90,90,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxdb-master/src/plugins/replication-graphql/index.ts
BehaviorSubject,1,91,91,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxdb-master/src/plugins/replication-graphql/index.ts
Error,1,199,199,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxdb-master/src/plugins/replication-graphql/index.ts
Error,1,285,285,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxdb-master/src/plugins/replication-graphql/index.ts
RxGraphQLReplicationState,1,423,423,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxdb-master/src/plugins/replication-graphql/index.ts
WeakSet,1,46,46,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxdb-master/src/plugins/replication.ts
Subject,1,67,67,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxdb-master/src/plugins/replication.ts
Subject,1,68,68,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxdb-master/src/plugins/replication.ts
Subject,1,69,69,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxdb-master/src/plugins/replication.ts
BehaviorSubject,1,70,70,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxdb-master/src/plugins/replication.ts
BehaviorSubject,1,71,71,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxdb-master/src/plugins/replication.ts
BehaviorSubject,1,72,72,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxdb-master/src/plugins/replication.ts
Subject,1,73,73,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxdb-master/src/plugins/replication.ts
RxReplicationStateBase,1,208,208,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxdb-master/src/plugins/replication.ts
IdleQueue,1,109,109,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxdb-master/src/rx-database.ts
Subject,1,114,114,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxdb-master/src/rx-database.ts
