Observable variable/alias used,Times Used,Line start,Line end,Filename
Observable,1,28,28,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxjs-etc-master/source/observable/combineLatestHigherOrderArray.ts
Observable,1,28,28,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxjs-etc-master/source/observable/combineLatestHigherOrderArray.ts
Subscription,1,32,32,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxjs-etc-master/source/observable/combineLatestHigherOrderArray.ts
Observable,1,34,34,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxjs-etc-master/source/observable/combineLatestHigherOrderObject.ts
Observable,1,34,34,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxjs-etc-master/source/observable/combineLatestHigherOrderObject.ts
Subscription,1,38,38,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxjs-etc-master/source/observable/combineLatestHigherOrderObject.ts
ReplaySubject,1,20,20,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxjs-etc-master/source/observable/memo.ts
Map,1,29,29,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxjs-etc-master/source/observable/memo.ts
Observable,1,20,20,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxjs-etc-master/source/observable/mergeHigherOrderArray.ts
Observable,1,20,20,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxjs-etc-master/source/observable/mergeHigherOrderArray.ts
Subscription,1,24,24,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxjs-etc-master/source/observable/mergeHigherOrderArray.ts
Observable,1,49,49,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxjs-etc-master/source/observable/progress.ts
Observable,1,49,49,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxjs-etc-master/source/observable/progress.ts
Subject,1,53,53,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxjs-etc-master/source/observable/progress.ts
Subject,1,54,54,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxjs-etc-master/source/observable/progress.ts
Subject,1,21,21,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxjs-etc-master/source/observable/resettable.ts
Subject,1,22,22,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxjs-etc-master/source/observable/resettable.ts
Error,1,322,322,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxjs-etc-master/source/observable/traverse-spec.ts
Subject,1,328,328,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxjs-etc-master/source/observable/traverse-spec.ts
Observable,1,60,60,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxjs-etc-master/source/observable/traverse.ts
Observable,1,60,60,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxjs-etc-master/source/observable/traverse.ts
NotificationQueue,1,65,65,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxjs-etc-master/source/observable/traverse.ts
Observable,1,20,20,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxjs-etc-master/source/observable/zipPadded.ts
Observable,1,20,20,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxjs-etc-master/source/observable/zipPadded.ts
Subject,1,19,19,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxjs-etc-master/source/operators/bucketBy.ts
BucketByOperator,1,22,22,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxjs-etc-master/source/operators/bucketBy.ts
BucketBySubscriber,1,34,34,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxjs-etc-master/source/operators/bucketBy.ts
Observable,1,27,27,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxjs-etc-master/source/operators/debounceTimeWithinReason.ts
Observable,1,27,27,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxjs-etc-master/source/operators/debounceTimeWithinReason.ts
Subscription,1,44,44,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxjs-etc-master/source/operators/debounceTimeWithinReason.ts
Observable,1,15,15,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxjs-etc-master/source/operators/delayUntil.ts
Observable,1,15,15,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxjs-etc-master/source/operators/delayUntil.ts
Subscription,1,18,18,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxjs-etc-master/source/operators/delayUntil.ts
Error,1,20,20,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxjs-etc-master/source/operators/guard.ts
InexorablyOperator,1,22,22,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxjs-etc-master/source/operators/inexorably.ts
InexorablySubscriber,1,35,35,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxjs-etc-master/source/operators/inexorably.ts
Subscription,1,48,48,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxjs-etc-master/source/operators/inexorably.ts
Observable,1,24,24,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxjs-etc-master/source/operators/prioritize.ts
Observable,1,24,24,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxjs-etc-master/source/operators/prioritize.ts
Subscription,1,27,27,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxjs-etc-master/source/operators/prioritize.ts
