Alias or name used,Line,Filename
map,268,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/_helpers/__mocks__/browser-api.ts
map,413,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/_helpers/__mocks__/browser-api.ts
map,36,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/_helpers/__mocks__/config-manager.ts
filter,295,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/_helpers/browser-api.ts
map,301,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/_helpers/browser-api.ts
map,452,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/_helpers/browser-api.ts
map,105,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/_helpers/config-manager.ts
filter,32,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/_helpers/observables.ts
map,38,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/_helpers/observables.ts
switchMap,50,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/_helpers/observables.ts
map,59,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/_helpers/observables.ts
debounceTime,60,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/_helpers/observables.ts
mergeMap,74,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/_helpers/observables.ts
takeUntil,76,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/_helpers/observables.ts
map,306,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/_helpers/profile-manager.ts
map,319,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/_helpers/profile-manager.ts
filter,47,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/background/context-menus.ts
concatMap,51,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/background/context-menus.ts
switchMap,37,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/background/i18n-manager.ts
map,55,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/background/sync-manager/helpers.ts
filter,57,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/background/sync-manager/helpers.ts
distinctUntilChanged,58,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/background/sync-manager/helpers.ts
distinctUntilChanged,45,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/components/AntdRoot.tsx
startWith,56,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/components/AntdRoot.tsx
map,415,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/components/dictionaries/helpers.ts
debounceTime,420,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/components/dictionaries/helpers.ts
tap,421,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/components/dictionaries/helpers.ts
debounce,42,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/components/MachineTrans/MachineTrans.tsx
debounceTime,89,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/components/WordPage/index.tsx
switchMap,90,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/components/WordPage/index.tsx
startWith,96,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/components/WordPage/index.tsx
debounceTime,62,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/content/components/DictList/DictList.tsx
debounceTime,80,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/content/components/MenuBar/MenuBar.tsx
map,81,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/content/components/MenuBar/MenuBar.tsx
startWith,192,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/content/components/MenuBar/MenuBar.tsx
debounceTime,54,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/content/components/MenuBar/Profiles.tsx
distinctUntilChanged,63,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/content/components/MenuBar/SearchBox.tsx
map,43,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/content/components/MenuBar/Suggest.tsx
filter,44,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/content/components/MenuBar/Suggest.tsx
debounceTime,46,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/content/components/MenuBar/Suggest.tsx
startWith,75,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/content/components/MenuBar/Suggest.tsx
startWith,78,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/content/components/MenuBar/Suggest.tsx
switchMap,122,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/content/components/MtaBox/MtaBox.tsx
mapTo,124,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/content/components/MtaBox/MtaBox.tsx
debounceTime,79,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/content/components/WordEditor/Notes.tsx
withLatestFrom,101,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/content/components/WordEditor/Notes.tsx
switchMap,102,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/content/components/WordEditor/Notes.tsx
distinctUntilChanged,52,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/content/redux/create.ts
map,20,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/content/redux/epics/index.ts
mergeMap,33,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/content/redux/epics/index.ts
filter,98,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/content/redux/epics/index.ts
mapTo,99,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/content/redux/epics/index.ts
switchMap,12,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/content/redux/epics/newSelection.epic.ts
switchMap,26,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/content/redux/epics/searchStart.epic.ts
switchMapTo,114,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/content/redux/epics/searchStart.epic.ts
map,119,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/content/redux/epics/searchStart.epic.ts
map,127,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/content/redux/epics/searchStart.epic.ts
scan,39,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/options/components/EntrySideBar/index.tsx
switchMap,22,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/options/components/Header/HeadInfo/index.tsx
map,93,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/options/components/SaladictForm/index.tsx
startWith,94,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/options/components/SaladictForm/index.tsx
distinctUntilChanged,95,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/options/components/SaladictForm/index.tsx
publishReplay,15,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/options/data.ts
publishReplay,19,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/options/data.ts
withLatestFrom,13,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/options/helpers/upload.ts
switchMap,14,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/options/helpers/upload.ts
filter,23,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/options/index.tsx
map,27,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/selection/helper.ts
mapTo,30,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/selection/helper.ts
mapTo,31,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/selection/helper.ts
distinctUntilChanged,34,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/selection/helper.ts
filter,35,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/selection/helper.ts
map,29,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/selection/index.ts
switchMap,86,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/selection/index.ts
switchMap,109,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/selection/index.ts
startWith,40,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/selection/instant-capture.ts
map,65,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/selection/instant-capture.ts
map,91,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/selection/instant-capture.ts
filter,92,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/selection/instant-capture.ts
share,17,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/selection/quick-search.ts
map,49,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/selection/select-text.ts
mapTo,68,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/selection/select-text.ts
mapTo,69,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/selection/select-text.ts
mapTo,70,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/selection/select-text.ts
mapTo,71,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/selection/select-text.ts
map,77,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/selection/select-text.ts
withLatestFrom,82,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/selection/select-text.ts
map,83,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/selection/select-text.ts
throttle,138,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/selection/select-text.ts
filter,164,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/selection/select-text.ts
filter,168,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/selection/select-text.ts
filter,176,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/selection/select-text.ts
delay,180,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/selection/select-text.ts
withLatestFrom,181,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/selection/select-text.ts
filter,184,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/selection/select-text.ts
map,188,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/selection/select-text.ts
distinctUntilChanged,214,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/selection/select-text.ts
filter,237,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/selection/select-text.ts
switchMap,245,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/selection/select-text.ts
withLatestFrom,254,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/selection/select-text.ts
filter,255,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/selection/select-text.ts
map,272,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/selection/select-text.ts
delay,276,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/selection/select-text.ts
withLatestFrom,277,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/selection/select-text.ts
map,278,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/selection/select-text.ts
distinctUntilChanged,311,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/selection/select-text.ts
switchMap,338,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/selection/select-text.ts
mapTo,339,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/selection/select-text.ts
scan,341,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/selection/select-text.ts
