Observable variable/alias used,Times Used,Line start,Line end,Filename
Error,1,148,148,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/compat/eme/custom_media_keys.ts
Error,1,151,151,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/compat/eme/custom_media_keys.ts
Error,1,154,154,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/compat/eme/custom_media_keys.ts
PPromise,1,189,189,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/compat/eme/custom_media_keys.ts
Uint8Array,1,46,46,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/compat/eme/generate_key_request.ts
Uint8Array,1,47,47,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/compat/eme/generate_key_request.ts
Error,1,55,55,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/compat/eme/generate_key_request.ts
Uint8Array,1,58,58,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/compat/eme/generate_key_request.ts
Error,1,61,61,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/compat/eme/generate_key_request.ts
Error,1,93,93,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/compat/eme/generate_key_request.ts
Error,1,98,98,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/compat/eme/generate_key_request.ts
Observable,1,37,37,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/compat/set_element_src.ts
Observable,1,37,37,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/compat/set_element_src.ts
BandwidthEstimator,1,128,128,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/core/abr/abr_manager.ts
RepresentationScoreCalculator,1,189,189,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/core/abr/representation_estimator.ts
NetworkAnalyzer,1,190,190,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/core/abr/representation_estimator.ts
PendingRequestsStore,1,191,191,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/core/abr/representation_estimator.ts
Error,1,243,243,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/core/abr/representation_estimator.ts
ReplaySubject,1,350,350,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/core/api/clock.ts
Set,1,118,118,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/core/buffers/active_period_emitter.ts
Subject,1,136,136,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/core/buffers/adaptation/adaptation_buffer.ts
Subject,1,139,139,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/core/buffers/adaptation/adaptation_buffer.ts
Subject,1,142,142,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/core/buffers/adaptation/adaptation_buffer.ts
Subject,1,144,144,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/core/buffers/adaptation/adaptation_buffer.ts
ReplaySubject,1,160,160,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/core/buffers/adaptation/adaptation_buffer.ts
WeakMapMemory,1,123,123,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/core/buffers/buffer_orchestrator.ts
MediaError,1,147,147,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/core/buffers/buffer_orchestrator.ts
MediaError,1,152,152,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/core/buffers/buffer_orchestrator.ts
SortedList,1,203,203,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/core/buffers/buffer_orchestrator.ts
Subject,1,204,204,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/core/buffers/buffer_orchestrator.ts
MediaError,1,266,266,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/core/buffers/buffer_orchestrator.ts
Subject,1,312,312,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/core/buffers/buffer_orchestrator.ts
Subject,1,316,316,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/core/buffers/buffer_orchestrator.ts
ReplaySubject,1,115,115,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/core/buffers/period/period_buffer.ts
MediaError,1,59,59,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/core/buffers/representation/push_data.ts
MediaError,1,71,71,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/core/buffers/representation/push_data.ts
ReplaySubject,1,195,195,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/core/buffers/representation/representation_buffer.ts
Subject,1,198,198,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/core/buffers/representation/representation_buffer.ts
SimpleSet,1,206,206,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/core/buffers/representation/representation_buffer.ts
Error,1,108,108,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/core/eme/_tests__/init_media_keys.test.ts
Error,1,147,147,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/core/eme/_tests__/init_media_keys.test.ts
InitDataStore,1,74,74,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/core/eme/eme_manager.ts
EncryptedMediaError,1,154,154,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/core/eme/eme_manager.ts
Observable,1,305,305,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/core/eme/find_key_system.ts
Observable,1,305,305,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/core/eme/find_key_system.ts
EncryptedMediaError,1,321,321,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/core/eme/find_key_system.ts
Error,1,338,338,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/core/eme/find_key_system.ts
EncryptedMediaError,1,55,55,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/core/eme/get_media_keys.ts
PersistedSessionsStore,1,60,60,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/core/eme/get_media_keys.ts
EncryptedMediaError,1,95,95,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/core/eme/get_media_keys.ts
SessionsStore,1,98,98,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/core/eme/get_media_keys.ts
Uint8Array,1,104,104,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/core/eme/get_session.ts
EncryptedMediaError,1,68,68,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/core/eme/session_events_listener.ts
EncryptedMediaError,1,73,73,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/core/eme/session_events_listener.ts
Subject,1,100,100,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/core/eme/session_events_listener.ts
EncryptedMediaError,1,117,117,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/core/eme/session_events_listener.ts
EncryptedMediaError,1,137,137,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/core/eme/session_events_listener.ts
Uint8Array,1,150,150,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/core/eme/session_events_listener.ts
EncryptedMediaError,1,202,202,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/core/eme/session_events_listener.ts
EncryptedMediaError,1,63,63,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/core/eme/set_server_certificate.ts
EncryptedMediaError,1,115,115,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/core/eme/utils/open_sessions_store.ts
EncryptedMediaError,1,54,54,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/core/init/create_eme_manager.ts
EncryptedMediaError,1,64,64,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/core/init/create_eme_manager.ts
EncryptedMediaError,1,74,74,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/core/init/create_eme_manager.ts
Observable,1,117,117,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/core/init/create_media_source.ts
Observable,1,117,117,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/core/init/create_media_source.ts
MediaError,1,119,119,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/core/init/create_media_source.ts
MediaSource_,1,127,127,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/core/init/create_media_source.ts
Error,1,144,144,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/core/init/initialize_directfile.ts
MediaError,1,187,187,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/core/init/initialize_directfile.ts
MediaError,1,192,192,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/core/init/initialize_directfile.ts
Subject,1,145,145,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/core/init/initialize_media_source.ts
SegmentPipelinesManager,1,170,170,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/core/init/initialize_media_source.ts
ABRManager,1,178,178,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/core/init/initialize_media_source.ts
ReplaySubject,1,221,221,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/core/init/initialize_media_source.ts
Subject,1,227,227,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/core/init/initialize_media_source.ts
Subject,1,285,285,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/core/init/initialize_media_source.ts
MediaError,1,128,128,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/core/init/load_on_media_source.ts
SourceBuffersStore,1,134,134,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/core/init/load_on_media_source.ts
Subject,1,160,160,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/core/init/load_on_media_source.ts
MediaError,1,215,215,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/core/init/load_on_media_source.ts
