Subject variable/alias used,Line start,Line end,Filename
Subject,34,34,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxjs-spy-master/source/detector-spec.ts
Subject,60,60,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxjs-spy-master/source/detector-spec.ts
Subject,42,42,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxjs-spy-master/source/plugin/cycle-plugin-spec.ts
Subject,43,43,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxjs-spy-master/source/plugin/cycle-plugin-spec.ts
Subject,42,42,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxjs-spy-master/source/plugin/graph-plugin-spec.ts
Subject,60,60,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxjs-spy-master/source/plugin/graph-plugin-spec.ts
Subject,78,78,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxjs-spy-master/source/plugin/graph-plugin-spec.ts
Subject,96,96,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxjs-spy-master/source/plugin/graph-plugin-spec.ts
Subject,97,97,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxjs-spy-master/source/plugin/graph-plugin-spec.ts
Subject,125,125,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxjs-spy-master/source/plugin/graph-plugin-spec.ts
Subject,126,126,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxjs-spy-master/source/plugin/graph-plugin-spec.ts
Subject,154,154,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxjs-spy-master/source/plugin/graph-plugin-spec.ts
Subject,155,155,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxjs-spy-master/source/plugin/graph-plugin-spec.ts
Subject,180,180,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxjs-spy-master/source/plugin/graph-plugin-spec.ts
Subject,181,181,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxjs-spy-master/source/plugin/graph-plugin-spec.ts
Subject,206,206,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxjs-spy-master/source/plugin/graph-plugin-spec.ts
Subject,231,231,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxjs-spy-master/source/plugin/graph-plugin-spec.ts
Subject,256,256,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxjs-spy-master/source/plugin/graph-plugin-spec.ts
Subject,345,345,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxjs-spy-master/source/plugin/graph-plugin-spec.ts
Subject,368,368,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxjs-spy-master/source/plugin/graph-plugin-spec.ts
Subject,369,369,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxjs-spy-master/source/plugin/graph-plugin-spec.ts
Subject,401,401,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxjs-spy-master/source/plugin/graph-plugin-spec.ts
Subject,483,483,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxjs-spy-master/source/plugin/graph-plugin-spec.ts
Subject,501,501,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxjs-spy-master/source/plugin/graph-plugin-spec.ts
Subject,524,524,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxjs-spy-master/source/plugin/graph-plugin-spec.ts
Subject,525,525,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxjs-spy-master/source/plugin/graph-plugin-spec.ts
Subject,547,547,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxjs-spy-master/source/plugin/graph-plugin-spec.ts
Subject,548,548,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxjs-spy-master/source/plugin/graph-plugin-spec.ts
Subject,549,549,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxjs-spy-master/source/plugin/graph-plugin-spec.ts
Subject,573,573,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxjs-spy-master/source/plugin/graph-plugin-spec.ts
Subject,592,592,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxjs-spy-master/source/plugin/graph-plugin-spec.ts
Subject,20,20,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxjs-spy-master/source/plugin/let-plugin-spec.ts
Subject,27,27,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxjs-spy-master/source/plugin/let-plugin-spec.ts
Subject,42,42,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxjs-spy-master/source/plugin/let-plugin-spec.ts
Subject,45,45,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxjs-spy-master/source/plugin/let-plugin-spec.ts
Subject,60,60,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxjs-spy-master/source/plugin/let-plugin-spec.ts
Subject,63,63,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxjs-spy-master/source/plugin/let-plugin-spec.ts
Subject,76,76,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxjs-spy-master/source/plugin/let-plugin-spec.ts
Subject,79,79,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxjs-spy-master/source/plugin/let-plugin-spec.ts
Subject,43,43,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxjs-spy-master/source/plugin/log-plugin-spec.ts
Subject,64,64,/Users/stefanosathanasoulias/thesis-projects-container/projects/rxjs-spy-master/source/plugin/log-plugin-spec.ts
