Subject variable/alias used,Line start,Line end,Filename
Subject,28,28,/Users/stefanosathanasoulias/thesis-projects-container/projects/angularfire-lite-master/src/auth/auth.service.ts
Subject,42,42,/Users/stefanosathanasoulias/thesis-projects-container/projects/angularfire-lite-master/src/auth/auth.service.ts
Subject,50,50,/Users/stefanosathanasoulias/thesis-projects-container/projects/angularfire-lite-master/src/auth/auth.service.ts
Subject,59,59,/Users/stefanosathanasoulias/thesis-projects-container/projects/angularfire-lite-master/src/auth/auth.service.ts
Subject,73,73,/Users/stefanosathanasoulias/thesis-projects-container/projects/angularfire-lite-master/src/auth/auth.service.ts
Subject,100,100,/Users/stefanosathanasoulias/thesis-projects-container/projects/angularfire-lite-master/src/auth/auth.service.ts
Subject,382,382,/Users/stefanosathanasoulias/thesis-projects-container/projects/angularfire-lite-master/src/firestore/firestore.service.ts
Subject,410,410,/Users/stefanosathanasoulias/thesis-projects-container/projects/angularfire-lite-master/src/firestore/firestore.service.ts
Subject,36,36,/Users/stefanosathanasoulias/thesis-projects-container/projects/angularfire-lite-master/src/messaging/messaging.service.ts
Subject,57,57,/Users/stefanosathanasoulias/thesis-projects-container/projects/angularfire-lite-master/src/storage/storage.service.ts
