Alias or name used,Line,Filename
catchError,41,/Users/stefanosathanasoulias/thesis-projects-container/projects/Keyist-Ecommerce-master/frontend/src/app/account/details/reset-details/reset-details.component.ts
take,91,/Users/stefanosathanasoulias/thesis-projects-container/projects/Keyist-Ecommerce-master/frontend/src/app/account/details/reset-details/reset-details.component.ts
take,32,/Users/stefanosathanasoulias/thesis-projects-container/projects/Keyist-Ecommerce-master/frontend/src/app/account/details/reset-email/reset-email.component.ts
take,37,/Users/stefanosathanasoulias/thesis-projects-container/projects/Keyist-Ecommerce-master/frontend/src/app/account/details/reset-password/reset-password.component.ts
take,30,/Users/stefanosathanasoulias/thesis-projects-container/projects/Keyist-Ecommerce-master/frontend/src/app/account/list-orders/list-orders.component.ts
catchError,56,/Users/stefanosathanasoulias/thesis-projects-container/projects/Keyist-Ecommerce-master/frontend/src/app/account/list-orders/list-orders.component.ts
take,28,/Users/stefanosathanasoulias/thesis-projects-container/projects/Keyist-Ecommerce-master/frontend/src/app/auth/forgot-password/forgot-password.component.ts
take,65,/Users/stefanosathanasoulias/thesis-projects-container/projects/Keyist-Ecommerce-master/frontend/src/app/browse/browse.component.ts
take,38,/Users/stefanosathanasoulias/thesis-projects-container/projects/Keyist-Ecommerce-master/frontend/src/app/checkout/confirmation/bank-accept/bank-accept.component.ts
take,46,/Users/stefanosathanasoulias/thesis-projects-container/projects/Keyist-Ecommerce-master/frontend/src/app/checkout/confirmation/confirmation.component.ts
take,68,/Users/stefanosathanasoulias/thesis-projects-container/projects/Keyist-Ecommerce-master/frontend/src/app/checkout/display-cart/display-cart.component.ts
take,42,/Users/stefanosathanasoulias/thesis-projects-container/projects/Keyist-Ecommerce-master/frontend/src/app/checkout/order-form/order-form.component.ts
filter,26,/Users/stefanosathanasoulias/thesis-projects-container/projects/Keyist-Ecommerce-master/frontend/src/app/home/newly-added/newly-added.component.ts
take,105,/Users/stefanosathanasoulias/thesis-projects-container/projects/Keyist-Ecommerce-master/frontend/src/app/item-detail/item-detail.component.ts
take,33,/Users/stefanosathanasoulias/thesis-projects-container/projects/Keyist-Ecommerce-master/frontend/src/app/item-detail/related/related.component.ts
take,29,/Users/stefanosathanasoulias/thesis-projects-container/projects/Keyist-Ecommerce-master/frontend/src/app/search/search.component.ts
take,51,/Users/stefanosathanasoulias/thesis-projects-container/projects/Keyist-Ecommerce-master/frontend/src/app/search/search.component.ts
take,16,/Users/stefanosathanasoulias/thesis-projects-container/projects/Keyist-Ecommerce-master/frontend/src/app/services/auth-guard.service.ts
map,22,/Users/stefanosathanasoulias/thesis-projects-container/projects/Keyist-Ecommerce-master/frontend/src/app/services/checkout-guard.service.ts
switchMap,59,/Users/stefanosathanasoulias/thesis-projects-container/projects/Keyist-Ecommerce-master/frontend/src/app/services/token.interceptor.ts
catchError,73,/Users/stefanosathanasoulias/thesis-projects-container/projects/Keyist-Ecommerce-master/frontend/src/app/services/token.interceptor.ts
finalize,76,/Users/stefanosathanasoulias/thesis-projects-container/projects/Keyist-Ecommerce-master/frontend/src/app/services/token.interceptor.ts
filter,82,/Users/stefanosathanasoulias/thesis-projects-container/projects/Keyist-Ecommerce-master/frontend/src/app/services/token.interceptor.ts
take,83,/Users/stefanosathanasoulias/thesis-projects-container/projects/Keyist-Ecommerce-master/frontend/src/app/services/token.interceptor.ts
switchMap,84,/Users/stefanosathanasoulias/thesis-projects-container/projects/Keyist-Ecommerce-master/frontend/src/app/services/token.interceptor.ts
catchError,86,/Users/stefanosathanasoulias/thesis-projects-container/projects/Keyist-Ecommerce-master/frontend/src/app/services/token.interceptor.ts
map,21,/Users/stefanosathanasoulias/thesis-projects-container/projects/Keyist-Ecommerce-master/frontend/src/app/store/auth/auth.effects.ts
switchMap,24,/Users/stefanosathanasoulias/thesis-projects-container/projects/Keyist-Ecommerce-master/frontend/src/app/store/auth/auth.effects.ts
map,49,/Users/stefanosathanasoulias/thesis-projects-container/projects/Keyist-Ecommerce-master/frontend/src/app/store/auth/auth.effects.ts
switchMap,52,/Users/stefanosathanasoulias/thesis-projects-container/projects/Keyist-Ecommerce-master/frontend/src/app/store/auth/auth.effects.ts
switchMap,54,/Users/stefanosathanasoulias/thesis-projects-container/projects/Keyist-Ecommerce-master/frontend/src/app/store/auth/auth.effects.ts
catchError,61,/Users/stefanosathanasoulias/thesis-projects-container/projects/Keyist-Ecommerce-master/frontend/src/app/store/auth/auth.effects.ts
concatMap,72,/Users/stefanosathanasoulias/thesis-projects-container/projects/Keyist-Ecommerce-master/frontend/src/app/store/auth/auth.effects.ts
switchMap,93,/Users/stefanosathanasoulias/thesis-projects-container/projects/Keyist-Ecommerce-master/frontend/src/app/store/auth/auth.effects.ts
switchMap,114,/Users/stefanosathanasoulias/thesis-projects-container/projects/Keyist-Ecommerce-master/frontend/src/app/store/auth/auth.effects.ts
map,116,/Users/stefanosathanasoulias/thesis-projects-container/projects/Keyist-Ecommerce-master/frontend/src/app/store/auth/auth.effects.ts
catchError,120,/Users/stefanosathanasoulias/thesis-projects-container/projects/Keyist-Ecommerce-master/frontend/src/app/store/auth/auth.effects.ts
switchMap,27,/Users/stefanosathanasoulias/thesis-projects-container/projects/Keyist-Ecommerce-master/frontend/src/app/store/browse/browse.effects.ts
catchError,39,/Users/stefanosathanasoulias/thesis-projects-container/projects/Keyist-Ecommerce-master/frontend/src/app/store/browse/browse.effects.ts
map,50,/Users/stefanosathanasoulias/thesis-projects-container/projects/Keyist-Ecommerce-master/frontend/src/app/store/browse/browse.effects.ts
mergeMap,53,/Users/stefanosathanasoulias/thesis-projects-container/projects/Keyist-Ecommerce-master/frontend/src/app/store/browse/browse.effects.ts
map,55,/Users/stefanosathanasoulias/thesis-projects-container/projects/Keyist-Ecommerce-master/frontend/src/app/store/browse/browse.effects.ts
map,78,/Users/stefanosathanasoulias/thesis-projects-container/projects/Keyist-Ecommerce-master/frontend/src/app/store/browse/browse.effects.ts
catchError,80,/Users/stefanosathanasoulias/thesis-projects-container/projects/Keyist-Ecommerce-master/frontend/src/app/store/browse/browse.effects.ts
switchMap,17,/Users/stefanosathanasoulias/thesis-projects-container/projects/Keyist-Ecommerce-master/frontend/src/app/store/cart/cart.effects.ts
map,19,/Users/stefanosathanasoulias/thesis-projects-container/projects/Keyist-Ecommerce-master/frontend/src/app/store/cart/cart.effects.ts
switchMap,35,/Users/stefanosathanasoulias/thesis-projects-container/projects/Keyist-Ecommerce-master/frontend/src/app/store/cart/cart.effects.ts
switchMap,57,/Users/stefanosathanasoulias/thesis-projects-container/projects/Keyist-Ecommerce-master/frontend/src/app/store/cart/cart.effects.ts
catchError,60,/Users/stefanosathanasoulias/thesis-projects-container/projects/Keyist-Ecommerce-master/frontend/src/app/store/cart/cart.effects.ts
switchMap,75,/Users/stefanosathanasoulias/thesis-projects-container/projects/Keyist-Ecommerce-master/frontend/src/app/store/cart/cart.effects.ts
map,77,/Users/stefanosathanasoulias/thesis-projects-container/projects/Keyist-Ecommerce-master/frontend/src/app/store/cart/cart.effects.ts
switchMap,88,/Users/stefanosathanasoulias/thesis-projects-container/projects/Keyist-Ecommerce-master/frontend/src/app/store/cart/cart.effects.ts
