Subject variable/alias used,Line start,Line end,Filename
Subject,67,67,/Users/stefanosathanasoulias/thesis-projects-container/projects/until-destroy-master/src/lib/internals.ts
Subject,47,47,/Users/stefanosathanasoulias/thesis-projects-container/projects/until-destroy-master/src/tests/until-destroy.spec.ts
Subject,76,76,/Users/stefanosathanasoulias/thesis-projects-container/projects/until-destroy-master/src/tests/until-destroy.spec.ts
Subject,28,28,/Users/stefanosathanasoulias/thesis-projects-container/projects/until-destroy-master/src/tests/until-destroyed.spec.ts
Subject,49,49,/Users/stefanosathanasoulias/thesis-projects-container/projects/until-destroy-master/src/tests/until-destroyed.spec.ts
Subject,50,50,/Users/stefanosathanasoulias/thesis-projects-container/projects/until-destroy-master/src/tests/until-destroyed.spec.ts
Subject,51,51,/Users/stefanosathanasoulias/thesis-projects-container/projects/until-destroy-master/src/tests/until-destroyed.spec.ts
Subject,69,69,/Users/stefanosathanasoulias/thesis-projects-container/projects/until-destroy-master/src/tests/until-destroyed.spec.ts
Subject,72,72,/Users/stefanosathanasoulias/thesis-projects-container/projects/until-destroy-master/src/tests/until-destroyed.spec.ts
Subject,76,76,/Users/stefanosathanasoulias/thesis-projects-container/projects/until-destroy-master/src/tests/until-destroyed.spec.ts
Subject,100,100,/Users/stefanosathanasoulias/thesis-projects-container/projects/until-destroy-master/src/tests/until-destroyed.spec.ts
Subject,116,116,/Users/stefanosathanasoulias/thesis-projects-container/projects/until-destroy-master/src/tests/until-destroyed.spec.ts
Subject,137,137,/Users/stefanosathanasoulias/thesis-projects-container/projects/until-destroy-master/src/tests/until-destroyed.spec.ts
Subject,162,162,/Users/stefanosathanasoulias/thesis-projects-container/projects/until-destroy-master/src/tests/until-destroyed.spec.ts
Subject,204,204,/Users/stefanosathanasoulias/thesis-projects-container/projects/until-destroy-master/src/tests/until-destroyed.spec.ts
